OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_,TREATMEN_1,TREATMEN_2,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CL,POST_CON_C,Shape_Leng,Shape_Area,area
9880,"1983",CA,CDF,AEU,0000045-019-8283,FARNHAM RIDGE,,1983/01/11 00:00:00.000,,0.000000000000000,214.280426025390625,,,,12250.010917257450274,867162.103616838925518,867162.108
9892,"2002",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2002/05/09 00:00:00.000,,30.000000000000000,30.393943786621094,,,,3813.471668472331658,122999.926200412461185,122999.927
9893,"2002",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2002/10/21 00:00:00.000,2002/10/25 00:00:00.000,,8.948994636535646,,,,1001.128639338073981,36215.296312136488268,36215.296
10124,"1994",CA,CDF,AEU,000000000004-038,IRON MTN CO OP,,,,0.000000000000000,76.783180236816406,,,,4682.004044225735925,310730.507080069277436,310730.507
10324,"2004",CA,CDF,AEU,0000000000RX-062,OMO RANCH EXT.,,,,28.000000000000000,28.128818511962891,"4",,,2640.864182177212115,113833.288612819058471,113833.289
10460,"2006",CA,CDF,AEU,Rx-067,SHAKE/OMO VMP,"3",2006/10/31 00:00:00.000,2006/10/31 00:00:00.000,10.000000000000000,8.302013397216800,"4","3","2",1154.403436424775691,33597.055297178718320,33597.055
10461,"2006",CA,CDF,AEU,Rx-067,SHAKE/OMO VMP,"3",2006/10/31 00:00:00.000,2006/10/31 00:00:00.000,48.000000000000000,47.605716705322266,"4","3","2",2906.445637639319557,192653.492578886769479,190725.398
10462,"2005",CA,CDF,AEU,Rx-062,OMO RANCH EXT VMP,"3",2005/12/31 00:00:00.000,2005/12/31 00:00:00.000,80.000000000000000,79.381294250488281,"3","3","2",5137.867656591190098,321244.696907692123204,321244.698
10464,"2006",CA,CDF,AEU,Rx-067,SHAKE/OMO VMP,"3",2006/05/18 00:00:00.000,2006/05/18 00:00:00.000,46.000000000000000,45.554805755615234,"4","3","2",3684.393804121733410,184353.764034410618478,184353.764
10465,"2006",CA,CDF,AEU,Rx-067,SHAKE/OMO VMP,"3",2006/05/09 00:00:00.000,2006/05/09 00:00:00.000,18.000000000000000,17.868192672729492,"4","3","2",1226.242143583709094,72310.007619832904311,72310.008
10561,"1983",CA,CDF,AEU,0000045-002-83-C,JENKINSON LAKE,,,,0.000000000000000,204.635803222656250,,,,4638.498105479923652,828131.721005259663798,828131.721
10566,"1983",CA,CDF,AEU,0000045-001-83-C,SLUG GULCH,,,,0.000000000000000,42.257236480712891,,,,1942.476991972997439,171008.973704511154210,171008.967
10567,"1983",CA,CDF,AEU,0000045-025-8283,SMITH,,1983/04/06 00:00:00.000,,0.000000000000000,23.032417297363281,,,,1466.324229221350606,93208.886981294912403,93208.903
10599,"1990",CA,CDF,AEU,00000004-015-AEU,FRENCH CREEK (UNIT1),,1990/06/23 00:00:00.000,,0.000000000000000,20.423612594604492,,,,1568.255677978675749,82651.427433554912568,82651.415
10600,"1990",CA,CDF,AEU,00000004-015-AEU,FRENCH CREEK (UNIT2),,1990/06/23 00:00:00.000,,0.000000000000000,71.355079650878906,,,,2477.558476977473219,288763.776938175025862,288763.797
10636,"2001",CA,CDF,AEU,00000RX4-053-AEU,SLY PARK,,2001/01/18 00:00:00.000,,0.000000000000000,5.233926773071290,,,,625.509541656971464,21180.950039596275019,21180.952
10637,"2001",CA,CDF,AEU,00000RX4-053-AEU,SLY PARK,,2001/10/28 00:00:00.000,,0.000000000000000,23.762826919555664,,,,1622.953015111304012,96164.747270787265734,96164.734
10638,"2001",CA,CDF,AEU,00000RX4-053-AEU,SLY PARK,,2001/10/26 00:00:00.000,,0.000000000000000,7.647374153137208,,,,813.234007683213008,30947.820954529033770,30947.831
10639,"2001",CA,CDF,AEU,00000RX4-053-AEU,SLY PARK,,2001/10/22 00:00:00.000,,0.000000000000000,15.437290191650391,,,,1118.283644010298303,62472.497637150147057,62472.500
10640,"2001",CA,CDF,AEU,00000RX4-053-AEU,RUPLY,,2001/05/17 00:00:00.000,,0.000000000000000,16.689685821533203,,,,1562.165322959783452,67540.762143998377724,67540.766
