year,month,fid,DN,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
1984,03.csv,1,1,7868.944012,95.96273185,96.80299759,26.03514789,47.83200073,155.8840027,108.052002,47.83200073,74.21800232,81,
1984,04.csv,1,1,5424.050982,66.14696319,59.64600182,25.77167446,27.35300064,132.822998,105.4699974,27.35300064,27.35300064,82,
1984,05.csv,1,1,1768.718982,21.56974368,18.49949932,15.65507097,1.687000036,52.8409996,51.15399957,1.687000036,1.687000036,82,
1984,06.csv,1,1,138.9689994,1.694743895,0.151499998,3.454445267,0,19.42099953,19.42099953,0.002,0,49,
1984,07.csv,1,1,298.407002,3.63910978,3.085999966,3.294191774,0,17.14500046,17.14500046,0.003,0,77,
1984,08.csv,1,1,170.9419999,2.084658535,1.934000015,1.078330514,0.855000019,9.286000252,8.431000233,0.855000019,0.855000019,82,
1984,09.csv,1,1,298.407002,3.63910978,3.085999966,3.294191774,0,17.14500046,17.14500046,0.003,0,77,
1985,01.csv,1,1,3228.170006,39.3679269,40.46450043,9.919975856,23.87100029,61.13499832,37.26399803,23.87100029,23.87100029,82,
1985,010.csv,1,1,9834.395981,119.9316583,121.8525009,30.28628994,67.79799652,174.1549988,106.3570023,67.79799652,67.79799652,82,
1985,011.csv,1,1,17054.41097,207.9806216,197.2009964,47.53516497,127.3850021,300.4500122,173.0650101,127.3850021,127.3850021,82,
1985,012.csv,1,1,9834.395981,119.9316583,121.8525009,30.28628994,67.79799652,174.1549988,106.3570023,67.79799652,67.79799652,82,
1985,02.csv,1,1,8081.704998,98.55737802,99.64299774,23.38624484,49.8730011,136.8240051,86.95100403,49.8730011,49.8730011,82,
1985,03.csv,1,1,14154.98703,172.621793,167.8199997,43.21067134,95.15699768,264.6560059,169.4990082,95.15699768,95.15699768,82,
1985,04.csv,1,1,936.6389996,11.42242682,8.755500317,7.8091843,1.139000058,30.13400078,28.99500072,1.139000058,1.139000058,82,
1985,05.csv,1,1,72.96899996,0.889865853,0.01,1.074028722,0,3.714999914,3.714999914,0.008,0,44,
1985,06.csv,1,1,940.7049966,11.47201215,9.739499569,3.410582985,7.552999973,19.27199936,11.71899939,7.552999973,7.552999973,82,
