,year,month,min,max,mean,median,std
0,1901,8,0,14.34500027,0.428975614,0,1.987169148
0,1901,9,11.33699989,200.2870026,78.41580492,72.61849976,46.97974755
0,1901,10,45.21300125,109.2590027,74.0731705,71.18549728,17.93010033
0,1901,11,79.75900269,177.0919952,122.6833774,117.581501,25.23079762
0,1901,12,36.97200012,141.2830048,88.34358546,89.37400055,28.79343182
0,1902,1,25.48900032,68.71399689,44.43523179,43.03199959,10.89606056
0,1902,2,196.5169983,460.3139954,327.7516587,311.7514954,69.18777983
0,1902,3,86.36799622,224.2590027,148.4583407,147.6315002,35.74859139
0,1902,4,51.95299911,184.3450012,107.3512194,106.4715004,32.40019615
0,1902,5,31.13599968,81.93000031,51.36647557,49.56849861,14.65018306
0,1902,6,1.006999969,16.22699928,7.978951181,7.090999842,5.339521364
0,1902,7,0,0,0,0,0
0,1902,8,0,9.095999718,0.205134145,0,1.125715101
0,1902,9,0,0,0,0,0
0,1902,10,45.94499969,190.0079956,113.4170851,109.7905006,34.63221106
0,1902,11,67.43800354,263.9549866,161.7792072,155.4960022,51.72410696
0,1902,12,72.43299866,197.3309937,128.8865978,125.7845001,34.78029703
0,1903,1,116.737999,454.5390015,272.907074,271.1095123,91.72756389
0,1903,2,41.44800186,85.67700195,65.01429274,65.10749817,12.26717237
0,1903,3,189.4420013,411.7810059,286.6882441,286.1285095,56.87079923
0,1903,4,19.54400063,47.96099854,31.03704885,30.87849998,6.704991601
0,1903,5,0,27.29999924,11.24068295,10.80499983,8.109121364
0,1903,6,0,0.119000003,0.00147561,0,0.013059177
0,1903,7,0,0,0,0,0
0,1903,8,0,0.188999996,0.002304878,0,0.020743902
0,1903,9,0,0,0,0,0
0,1903,10,4.471000195,51.50999832,26.4963781,24.21899986,11.16642299
0,1903,11,127.0820007,472.2109985,289.3626344,272.8739929,91.17717332
0,1903,12,36.8409996,95.51999664,64.28954878,62.78549957,15.50280819
0,1904,1,29.35499954,163.5570068,96.2453784,103.2910004,38.98336164
0,1904,2,180.7460022,586.1220093,406.695062,406.9640045,115.221587
0,1904,3,204.0879974,649.4140015,408.2941969,411.7534943,114.315679
0,1904,4,54.63899994,188.9579926,110.2835116,109.581501,31.55391203
0,1904,5,4.777999878,27.71899986,13.09281716,10.66649961,6.583225755
0,1904,6,0,0,0,0,0
0,1904,7,0,2.005000114,0.024451221,0,0.220060988
0,1904,8,2.242000103,33.93899918,4.144512179,2.863499999,4.372728037
0,1904,9,76.18000031,180.1289978,116.088695,114.4365005,28.05735696
0,1904,10,65.38300323,276.368988,171.6043178,168.6470032,56.78768984
0,1904,11,53.30699921,93.48899841,68.36315848,66.08699799,10.20200394
0,1904,12,49.82799911,187.1210022,115.258939,111.7139969,35.64221243
0,1905,1,90.22899628,199.5619965,132.489744,125.9355011,26.03765116
0,1905,2,74.94100189,152.8130035,117.2784506,116.4119987,22.35626996
0,1905,3,116.8150024,325.4450073,212.2921699,214.8174973,53.35146089
0,1905,4,37.00600052,95.8219986,60.02070776,58.38599968,13.90164378
0,1905,5,64.18199921,101.7109985,79.31324368,77.21500015,10.84047612
0,1905,6,0,0.691999972,0.008439024,0,0.075951216
0,1905,7,0,0,0,0,0
0,1905,8,0,15.88899994,0.543524384,0,2.284737006
0,1905,9,0.001,10.31999969,3.411987796,3.068999887,2.574758207
0,1905,10,0,0,0,0,0
0,1905,11,39.51499939,94.46499634,67.35237782,67.41450119,14.61000062
0,1905,12,29.12899971,98.72299957,64.58591438,65.48350143,19.46274869
0,1906,1,200.1519928,714.1810303,436.1003161,430.8320007,139.9743536
0,1906,2,112.362999,263.0369873,198.1822687,198.6705017,44.59756777
0,1906,3,228.8059998,587.4279785,389.1967567,387.2230072,95.95262127
0,1906,4,50.56800079,184.473999,110.4419635,113.7534981,41.94135128
0,1906,5,81.04499817,307.9750061,177.2831345,168.3805008,65.95282274
0,1906,6,19.66900063,89.36699677,52.20506082,45.38349915,24.22515955
0,1906,7,0,7.100999832,0.137536585,0,0.845793022
0,1906,8,0,27.52400017,1.05191463,0,3.992394396
0,1906,9,0,22.08300018,8.852170733,8.215500355,4.90100756
0,1906,10,0,7.047999859,1.149060967,0,2.195345952
0,1906,11,37.49700165,111.598999,66.57342725,63.29099846,19.00380464
0,1906,12,251.3690033,484.776001,368.3712439,367.3625031,56.77605978
0,1907,1,122.7170029,348.3190002,220.1748783,228.4140015,69.16416488
0,1907,2,103.2770004,255.8410034,199.8068416,204.1399994,39.88910962
0,1907,3,279.4890137,803.5969849,530.3056205,531.0074768,137.2436594
0,1907,4,15.4460001,93.47399902,48.8850733,49.34600067,20.05063264
0,1907,5,7.772999763,70.26499939,32.80980483,31.74349976,19.01442629
0,1907,6,28.18099976,135.3359985,75.25458541,62.43099976,35.09841914
0,1907,7,0,28.90800095,1.884048777,0,5.070616957
0,1907,8,0,5.754000187,0.076719514,0,0.633337893
0,1907,9,0,0.224999994,0.002743902,0,0.024695121
0,1907,10,14.21899986,37.86100006,25.5326707,25.86450005,6.951908981
0,1907,11,2.388000011,11.26799965,6.394414634,6.557499886,1.741188243
0,1907,12,109.848999,312.2049866,206.1931098,202.4260025,53.86037468
0,1908,1,106.3160019,173.6999969,132.9033293,130.9559937,16.82760661
0,1908,2,62.35300064,108.5339966,84.51718302,83.22050095,12.14134878
0,1908,3,23.14100075,100.7389984,54.37325587,52.94249916,19.54567488
0,1908,4,8.305999756,47.44499969,25.13431719,25.70250034,9.668026902
0,1908,5,39.3030014,193.3370056,100.2862807,93.33050156,41.2165676
0,1908,6,0,12.44999981,5.345329251,4.181000113,4.309017449
0,1908,7,0,8.260000229,0.205487807,0,1.084880522
0,1908,8,0,0,0,0,0
0,1908,9,1.371000051,38.36600113,13.95259761,11.73500013,9.010295337
0,1908,10,17.07699966,116.7949982,67.31492661,63.74650192,24.79231827
0,1908,11,38.00299835,98.67500305,65.22478048,64.04699898,17.69300688
0,1908,12,51.77000046,88.28199768,66.92846317,66.17950058,9.086380183
0,1909,1,318.1499939,1038.052002,661.5682209,657.2404785,197.5352397
0,1909,2,170.4190063,324.1210022,250.6913175,253.4409943,46.24525984
0,1909,3,71.60099792,182.6609955,122.7231706,125.8549995,29.64746572
0,1909,4,0,9.901000023,2.695524382,0.3605,3.169310512
0,1909,5,0,27.39999962,9.480048796,8.976500034,8.446307646
0,1909,6,3.112999916,17.01799965,9.283365863,7.894500017,4.736828224
0,1909,7,0,0,0,0,0
0,1909,8,0,0,0,0,0
0,1909,9,4.521999836,6.528999805,5.6204756,5.651000023,0.524293595
0,1909,10,29.70700073,127.5630035,77.3216951,75.29100037,25.69072143
0,1909,11,68.98100281,361.4150085,205.5531105,203.875,84.18324487
