OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,area
33030,"2002",CA,CDF,AEU,49ER,"00014198",2002/09/09 00:00:00.000,2002/09/09 00:00:00.000,"7",,35.000000000000000,33.556842803955078,"8","1","00000428",1674.380459445171027,135799.723550032853382,135799.724
33034,"2002",CA,CDF,AEU,CARSON,"00018841",2002/11/26 00:00:00.000,2002/11/26 00:00:00.000,"18",,35.000000000000000,38.013458251953125,"8","1","00000588",2403.383839168894610,153835.006564164214069,153835.007
33035,"2002",CA,CDF,AEU,D'AGOSTINI,"00013829",2002/09/03 00:00:00.000,2002/09/03 00:00:00.000,"11",,15.000000000000000,16.844417572021484,"8","1","00000412",1023.693001877968300,68166.940624948038021,68166.941
33118,"1993",CA,BLM,BBD,UNION,"00000000",1993/09/04 00:00:00.000,1993/09/04 00:00:00.000,"7",,60.000000000000000,70.179840087890625,"8","1",0000U980,2418.516052635519827,284007.728980566898827,284007.729
33247,"1992",CA,CDF,AEU,FARNHAM,"00002965",1992/08/20 00:00:00.000,,"2",,,801.242675781250000,,"1","00000560",8332.899951323855930,3242513.990459388121963,3242513.990
34348,"1999",CA,USF,ENF,BIG MT RX ESCAPE,"00000000",1999/11/29 00:00:00.000,1999/11/30 00:00:00.000,"5",,20.000000000000000,36.796630859375000,"8","1","00000132",3212.947864967726673,148910.688918008876499,148910.685
34426,"2002",CA,USF,ENF,BALTIC,"00000000",2002/11/25 00:00:00.000,2002/11/25 00:00:00.000,"5",,19.000000000000000,18.769025802612305,"6","1","00000096",1076.762046054519715,75955.552787891472690,75955.554
34578,"1972",CA,USF,ENF,,"00000000",1972/08/07 00:00:00.000,1972/08/08 00:00:00.000,"7",,190.000000000000000,209.026168823242188,"8","1","00000046",4791.964206569708949,845898.910560393356718,845898.911
36507,"2002",CA,USF,ENF,COWBOY,"00000000",2002/04/06 00:00:00.000,2002/04/08 00:00:00.000,"7",,9.000000000000000,13.809899330139160,"2","1","00000002",1685.522040836408905,55886.680952359005460,55886.681
36600,"1989",CA,BLM,BBD,SHINGLE,"00000000",1989/08/12 00:00:00.000,1989/08/12 00:00:00.000,"2",,80.000000000000000,30.202411651611328,"8","1","0000D128",1510.159755312916786,122224.825879177384195,122224.826
36881,"1973",CA,USF,ENF,PARK CREEK,"00000000",1973/08/17 00:00:00.000,1973/08/19 00:00:00.000,"7",,742.000000000000000,714.661499023437386,"8","1","00000071",8437.940953535287917,2892132.528456858824939,1745848.379
36882,"1973",CA,USF,ENF,PILLIKEN,"00000000",1973/08/17 00:00:00.000,1973/08/26 00:00:00.000,"7",,9990.000000000000000,10315.574218750000000,"8","1","00000072",48377.102652210509405,41745649.015919625759125,1464357.151
36955,"2004",CA,BLM,BBD,UNION,"00000000",2004/09/12 00:00:00.000,2004/09/12 00:00:00.000,"2",,35.000000000000000,34.927230834960938,"7","1",0000BE8U,1573.054078071711956,141345.484751790063456,141345.483
36957,"2004",CA,BLM,BBD,GOLD,"00000000",2004/07/11 00:00:00.000,2004/07/11 00:00:00.000,"2",,30.000000000000000,34.930053710937500,"7","1",0000A7NB,1466.878434868493059,141356.914394752413500,141356.912
37224,"1988",CA,USF,ENF,BEAR,"00000000",1988/12/14 00:00:00.000,1988/12/19 00:00:00.000,"5",,1010.000000000000000,582.428161621093750,"8","1","00000156",24711.118116647172428,2357003.239291005767882,2357003.165
38209,"2008",CA,CDF,AEU,SIERRA,"008924",2008/05/15 00:00:00.000,2008/05/15 00:00:00.000,"11",,66.000000000000000,53.719470977783203,"1","1",,2472.416081882494836,217394.983441563788801,217394.983
38235,"2008",CA,USF,ENF,CAPPS,"00000027",2008/06/21 00:00:00.000,2008/06/22 00:00:00.000,"1",,20.000000000000000,18.822587966918945,"1","1","00000027",1361.844704081456030,76172.309091128496220,76172.309
38814,"2011",CA,CDF,AEU,ONYX,"00028027",2011/09/09 00:00:00.000,2011/09/09 00:00:00.000,"1",,,14.786158561706541,"1","1",,1507.735861000590603,59837.461974779602315,59837.462
